Invoice_ID,Customer_ID,Customer_Name,Customer_Type,Industry,Region,Country,City,Email,Phone,Registration_Date,Account_Status,Payment_Terms,Credit_Limit,Account_Manager,Contract_ID,Service_Type,Plan_Name,Unit_Price,Estimated_Usage,Contract_Price,Discount_Allowed,Tax_Rate,Billing_Cycle,Contract_Duration,SLA_Level,Billing_Month,Billing_Year,Actual_Usage,Billed_Usage,Peak_Usage,OffPeak_Usage,Expected_Amount,Invoice_Date,Due_Date,Currency,Invoice_Status,Payment_Status,Invoice_Version,Tax_Expected,Tax_Billed,Discount_Applied,Discount_Amount,Billed_Amount,Missing_GST,Usage_Mismatch,Extra_Discount,Wrong_Pricing,Missing_Charge,Duplicate_Invoice,Contract_Violation,Late_Billing,Leakage,Leakage_Type,Leakage_Amount
INV000014,CUST00370,Woods-Melton,Government,Finance,North,Australia,West Evanmouth,mcclurechristopher@hall.com,001-228-889-8572x54596,2023-08-18,Inactive,Net 30,962735,Priya Nair,CON00184,Cloud,Enterprise Cloud,20,692,52240,0,18,Quarterly,12,Bronze,9,2026,2612,2612,2894,2478,52240,2025-09-21,2025-10-21,USD,Generated,Overdue,3,9403.2,9403.2,0,0.0,61643.2,0,0,0,0,0,0,0,0,0,None,0.0
INV000015,CUST00227,"Lopez, Johnson and Johnson",Enterprise,Manufacturing,East,USA,South Paul,victor70@morgan.com,(213)987-8293x1027,2021-12-26,Suspended,Net 30,992929,Rahul Sharma,CON00174,SaaS,ERP,25,1145,14525,15,18,Quarterly,12,Silver,10,2026,581,581,773,476,14525,2026-06-02,2026-07-02,INR,Sent,Pending,3,2614.5,2614.5,15,2178.75,12426.23,0,0,0,0,1,0,0,0,1,Missing Charge,2534.52
INV000016,CUST00394,"Reyes, Reilly and Lee",Government,Logistics,West,Australia,South Gregory,alyssa78@rodriguez-williams.com,331-600-9431,2023-07-10,Inactive,Net 45,721447,Sneha Patel,CON00132,SaaS,ERP,25,2869,27525,5,18,Quarterly,12,Bronze,7,2026,1101,1101,1362,946,27525,2025-09-02,2025-10-02,EUR,Sent,Pending,1,4954.5,4954.5,5,1376.25,31103.25,0,0,0,0,0,1,0,0,1,Duplicate Invoice,31103.25
INV000017,CUST00282,Bartlett and Sons,SMB,Education,West,Australia,Jeanhaven,goconnor@holland.com,437-360-3754,2023-11-10,Suspended,Net 30,775495,Rahul Sharma,CON00102,SaaS,HRMS,25,1080,34025,10,18,Quarterly,12,Bronze,2,2026,1361,1361,1492,1306,34025,2026-04-01,2026-05-01,EUR,Generated,Pending,2,6124.5,4525.574450609303,10,3402.5,35148.07,1,0,0,0,0,0,0,0,1,Missing GST,1598.93
INV000018,CUST00471,Guzman-Vasquez,Retail,Telecom,North,USA,West William,stephanie44@wright.com,+1-871-627-0587x7221,2022-05-26,Suspended,Net 15,315972,Rahul Sharma,CON00011,Internet,Fiber 300,10,1382,14920,10,18,Quarterly,12,Platinum,5,2026,1492,1492,1647,1389,14920,2025-08-30,2025-09-29,INR,Paid,Overdue,1,2685.6,2685.6,10,1492.0,14693.26,0,0,0,0,0,0,1,0,1,Contract Violation,1420.34
INV000019,CUST00495,"Wong, Yang and Mullins",SMB,Healthcare,East,UK,Port Vincent,cookchristina@trujillo.com,616-959-7263,2024-07-30,Active,Net 60,827881,John Thomas,CON00016,Voice,Voice Premium,5,2363,2745,15,18,Monthly,36,Bronze,3,2026,549,549,780,491,2745,2026-02-27,2026-03-29,USD,Sent,Overdue,2,494.1,494.1,15,411.75,2827.35,0,0,0,0,0,0,0,0,0,None,0.0
INV000020,CUST00279,Henderson LLC,Government,Finance,South,Australia,West Patriciachester,nwilson@reed.com,001-637-857-3839x5972,2025-02-21,Suspended,Net 15,962935,Sneha Patel,CON00117,Cloud,Enterprise Cloud,20,1599,39080,15,18,Yearly,12,Bronze,11,2026,1954,1954,2156,1882,39080,2026-01-13,2026-02-12,USD,Paid,Paid,2,7034.4,7034.4,15,5862.0,40252.4,0,0,0,0,0,0,0,0,0,None,0.0
INV000021,CUST00109,"Brown, Hurst and Blevins",SMB,Healthcare,North,Australia,Cruzbury,elittle@oneal.com,(269)365-8271,2021-09-17,Active,Net 15,54809,Priya Nair,CON00018,Voice,Voice Basic,5,1536,10860,10,18,Quarterly,12,Bronze,3,2026,2172,2172,2343,2087,10860,2026-05-16,2026-06-15,USD,Sent,Pending,1,1954.8,1954.8,10,1086.0,11728.8,0,0,0,0,0,0,0,0,0,None,0.0
INV000022,CUST00377,Johnson Ltd,SMB,IT,South,Singapore,South Heather,carolynrobinson@farley.org,9558044817,2025-02-01,Inactive,Net 60,752164,Arjun Kumar,CON00193,SaaS,ERP,25,1031,54525,15,18,Monthly,36,Gold,1,2026,2181,2181,2223,2125,54525,2025-10-07,2025-11-06,USD,Generated,Paid,3,9814.5,9814.5,15,8178.75,52270.21,0,0,0,0,0,0,1,0,1,Contract Violation,3890.54
INV000023,CUST00418,Lutz PLC,SMB,Telecom,South,UK,Matthewfurt,gilbertmichael@king.com,949-254-2770,2025-07-25,Active,Net 45,356773,Rahul Sharma,CON00020,Internet,Fiber 300,10,776,13470,15,18,Quarterly,24,Bronze,4,2026,1347,1347,1608,1265,13470,2026-05-17,2026-06-16,EUR,Sent,Pending,2,2424.6,2424.6,15,2020.5,11521.02,0,0,0,1,0,0,0,0,1,Wrong Pricing,2353.08
INV000024,CUST00297,Peters-Horton,Enterprise,Logistics,East,USA,Farmerside,cobbdebra@ryan.info,+1-215-569-5620x17537,2021-10-06,Suspended,Net 30,831725,Priya Nair,CON00082,Cloud,Enterprise Cloud,20,744,10340,15,18,Quarterly,36,Silver,3,2026,517,517,721,450,10340,2025-10-20,2025-11-19,EUR,Sent,Paid,2,1861.2,1861.2,15,1551.0,10650.2,0,0,0,0,0,0,0,0,0,None,0.0
INV000025,CUST00210,Fowler-Clark,Government,IT,East,USA,East Justin,kendra14@moore.com,+1-588-413-8585x424,2022-03-15,Suspended,Net 45,805164,Priya Nair,CON00024,SaaS,CRM,25,756,52225,15,18,Yearly,12,Silver,1,2026,2089,2089,2097,1989,52225,2025-11-10,2025-12-10,EUR,Paid,Paid,2,9400.5,9400.5,15,7833.75,48534.02,0,0,0,0,1,0,0,0,1,Missing Charge,5257.73
INV000026,CUST00163,Anderson PLC,Government,Telecom,West,Singapore,East Crystal,macdonalddylan@scott.net,(899)404-1379x7723,2026-07-21,Active,Net 60,365172,Priya Nair,CON00073,Cloud,Business Cloud,20,2446,10060,5,18,Yearly,24,Platinum,11,2026,503,503,553,499,10060,2026-03-27,2026-04-26,USD,Generated,Overdue,2,1810.8,1810.8,5,503.0,11367.8,0,0,0,0,0,0,0,0,0,None,0.0
INV000027,CUST00140,Dawson-Conner,Government,Manufacturing,West,Australia,Mcdowellview,wheelerbrandon@valdez.com,001-616-876-1847x230,2022-06-15,Inactive,Net 30,878533,Arjun Kumar,CON00062,Security,Firewall,15,806,26265,0,18,Yearly,36,Platinum,3,2026,1751,1751,1813,1581,26265,2026-06-02,2026-07-02,EUR,Sent,Pending,2,4727.7,4727.7,0,0.0,30992.7,0,0,0,0,0,0,0,0,0,None,0.0
INV000028,CUST00342,"Bartlett, Shea and Obrien",Enterprise,Healthcare,South,USA,Lake Corey,youngjacob@chase-lewis.com,+1-683-895-4296x184,2022-12-26,Inactive,Net 30,123861,John Thomas,CON00013,Cloud,Business Cloud,20,898,55580,10,18,Yearly,36,Platinum,12,2026,2779,2779,3066,2700,55580,2026-05-27,2026-06-26,EUR,Generated,Overdue,1,10004.4,10004.4,10,5558.0,60026.4,0,0,0,0,0,0,0,0,0,None,0.0
INV000029,CUST00316,"Murphy, Carroll and Henry",Government,Manufacturing,East,India,Johnstonland,debbie75@kirby.com,(632)696-7629x16032,2022-03-01,Inactive,Net 15,973945,Arjun Kumar,CON00147,Security,Endpoint Security,15,1932,19695,15,18,Yearly,12,Gold,2,2026,1313,1313,1331,1276,19695,2025-10-14,2025-11-13,INR,Paid,Overdue,2,3545.1,3545.1,15,2954.25,20285.85,0,0,0,0,0,0,0,0,0,None,0.0
INV000030,CUST00359,Galloway-Garrett,SMB,Manufacturing,North,Singapore,Port Michaelview,jonathansmith@irwin.com,001-464-998-3735x4396,2023-07-26,Active,Net 45,513547,John Thomas,CON00068,Internet,Fiber 100,10,1917,12010,10,18,Monthly,24,Gold,8,2026,1201,1201,1345,1074,12010,2026-06-26,2026-07-26,INR,Generated,Overdue,2,2161.8,2161.8,10,1201.0,12970.8,0,0,0,0,0,1,0,0,1,Duplicate Invoice,12970.8
INV000031,CUST00193,Frank-Morris,Enterprise,Manufacturing,North,USA,North Emilychester,michael55@rios.com,+1-279-527-0335x211,2022-11-07,Suspended,Net 15,90809,Sneha Patel,CON00021,Voice,Voice Premium,5,556,6410,5,18,Yearly,24,Gold,5,2026,1282,1282,1343,1200,6410,2025-10-15,2025-11-14,INR,Generated,Overdue,3,1153.8,1153.8,5,320.5,7243.3,0,0,0,0,0,0,0,1,1,Late Billing,2093.0
INV000032,CUST00238,Myers and Sons,SMB,Telecom,East,Australia,Susanland,martindaniel@crawford.net,+1-304-268-2756x7043,2023-07-28,Suspended,Net 15,124553,Rahul Sharma,CON00157,SaaS,ERP,25,794,14575,0,18,Monthly,36,Silver,5,2026,583,583,782,562,14575,2025-08-17,2025-09-16,EUR,Sent,Paid,3,2623.5,2623.5,0,0.0,17198.5,0,0,0,0,0,0,0,0,0,None,0.0
INV000033,CUST00427,Martin-Roberts,SMB,Logistics,West,India,Gonzalesburgh,sheila49@middleton.com,(513)288-2090,2025-10-01,Suspended,Net 30,678138,John Thomas,CON00065,Security,Firewall,15,1647,21960,10,18,Quarterly,36,Platinum,9,2026,1464,1464,1712,1453,21960,2026-04-15,2026-05-15,EUR,Generated,Overdue,3,3952.8,3952.8,10,2196.0,23716.8,0,0,0,0,0,0,0,0,0,None,0.0
INV000034,CUST00070,Campbell PLC,Government,Finance,South,Australia,Mitchelltown,jordannicole@diaz.com,001-983-658-4168,2022-08-10,Inactive,Net 60,483374,Priya Nair,CON00017,Cloud,Basic Cloud,20,1339,38960,10,18,Yearly,12,Silver,10,2026,1948,1948,2196,1776,38960,2026-08-01,2026-08-31,INR,Paid,Overdue,1,7012.8,7012.8,10,3896.0,42076.8,0,0,0,0,0,0,0,0,0,None,0.0
INV000035,CUST00099,Bush and Sons,Retail,Logistics,North,UK,Karenland,lloydamanda@nguyen-ellis.com,+1-478-659-6969x15579,2022-04-26,Inactive,Net 60,61023,Arjun Kumar,CON00003,Cloud,Basic Cloud,20,882,17880,15,18,Monthly,24,Platinum,5,2026,894,894,1010,731,17880,2026-02-14,2026-03-16,INR,Sent,Paid,2,3218.4,3218.4,15,2682.0,18416.4,0,0,0,0,0,0,0,0,0,None,0.0
INV000036,CUST00468,"Arroyo, Peterson and Parker",SMB,Finance,East,UK,East Joshua,santosmichael@hudson-fowler.com,001-383-235-0615x8148,2025-05-24,Inactive,Net 15,161032,Sneha Patel,CON00185,Voice,Voice Basic,5,2288,5065,10,18,Yearly,36,Bronze,8,2026,1013,1013,1244,953,5065,2026-05-15,2026-06-14,USD,Generated,Overdue,2,911.7,911.7,10,506.5,5470.2,0,0,0,0,0,0,0,0,0,None,0.0
INV000037,CUST00286,Sims-Gomez,Enterprise,Finance,West,India,Port Debraville,vevans@chavez.org,001-889-535-4492,2022-06-28,Active,Net 15,819299,John Thomas,CON00054,Internet,Fiber 100,10,2600,17920,5,18,Quarterly,36,Bronze,8,2026,1792,1792,1831,1635,17920,2025-09-21,2025-10-21,USD,Generated,Paid,1,3225.6,3225.6,5,896.0,20249.6,0,0,0,0,0,0,0,0,0,None,0.0
INV000038,CUST00360,"Barber, Richardson and Barrera",Government,Manufacturing,West,Australia,South Hunterburgh,jacobhenry@white.com,(293)312-1637x6182,2024-10-23,Inactive,Net 30,678419,Priya Nair,CON00037,Internet,Fiber 300,10,1598,10530,0,18,Monthly,24,Gold,5,2026,1053,1053,1276,1033,10530,2025-12-12,2026-01-11,EUR,Sent,Paid,3,1895.4,1895.4,0,0.0,12425.4,0,0,0,0,0,0,0,0,0,None,0.0
INV000039,CUST00148,Williams-Schultz,Government,IT,West,Singapore,Port Patriciamouth,tamarasmith@williams.info,529.622.1699x58669,2024-12-24,Active,Net 60,307802,Rahul Sharma,CON00023,Voice,Voice Basic,5,2072,3840,0,18,Yearly,12,Bronze,10,2026,768,768,841,655,3840,2025-09-09,2025-10-09,EUR,Sent,Overdue,3,691.2,691.2,0,0.0,4531.2,0,0,0,0,0,0,0,0,0,None,0.0
INV000040,CUST00107,Perez Inc,Enterprise,IT,South,India,North Lawrenceport,patrickli@may.com,489-809-2753,2025-05-11,Suspended,Net 45,967888,Sneha Patel,CON00022,Voice,Voice Premium,5,612,6995,15,18,Yearly,24,Silver,7,2026,1399,1399,1410,1253,6995,2025-09-11,2025-10-11,EUR,Generated,Pending,1,1259.1,1259.1,15,1049.25,7204.85,0,0,0,0,0,0,0,0,0,None,0.0
INV000041,CUST00252,"Garcia, Kim and Barrett",Retail,Telecom,North,Australia,North Douglasfurt,figueroapatricia@brown.com,696.813.6749,2024-08-16,Suspended,Net 60,833204,John Thomas,CON00171,Cloud,Enterprise Cloud,20,2961,26980,0,18,Yearly,36,Silver,7,2026,1349,1349,1569,1220,26980,2026-01-09,2026-02-08,INR,Sent,Overdue,3,4856.4,4856.4,0,0.0,31836.4,0,0,0,0,0,0,0,0,0,None,0.0
INV000042,CUST00198,Beard-Gutierrez,Retail,Telecom,North,UK,Turnerview,kimberlyrodriguez@johnson.org,499-993-9330x517,2024-10-10,Suspended,Net 60,428165,Priya Nair,CON00001,SaaS,ERP,25,1320,16700,10,18,Yearly,12,Gold,3,2026,668,668,737,520,16700,2026-03-16,2026-04-15,INR,Sent,Paid,1,3006.0,3006.0,10,1670.0,18036.0,0,0,0,0,0,0,0,0,0,None,0.0
INV000043,CUST00333,"Thomas, Meyer and Armstrong",Government,Finance,South,India,East Tylerland,marisa87@mosley.info,+1-583-633-2116x02564,2025-08-24,Suspended,Net 60,118619,Rahul Sharma,CON00179,Cloud,Enterprise Cloud,20,518,43140,10,18,Quarterly,12,Platinum,9,2026,2157,2157,2429,2057,43140,2026-05-05,2026-06-04,INR,Paid,Pending,2,7765.2,7765.2,10,4314.0,46591.2,0,0,0,0,0,0,0,0,0,None,0.0
INV000044,CUST00134,Hancock Ltd,Government,Education,South,India,South Rhondaburgh,walkercharlene@marquez-fletcher.com,(765)674-3748x96910,2024-02-19,Suspended,Net 30,412920,Sneha Patel,CON00102,SaaS,HRMS,25,1080,29750,10,18,Quarterly,12,Bronze,11,2026,1190,1190,1255,1092,29750,2026-04-29,2026-05-29,EUR,Generated,Paid,2,5355.0,5355.0,10,2975.0,32130.0,0,0,0,0,0,0,0,0,0,None,0.0
INV000045,CUST00055,"Warner, Valentine and Osborn",Enterprise,Healthcare,South,Australia,Lake Ellenhaven,andrew42@peterson.com,222.714.1888,2022-09-17,Inactive,Net 45,492905,John Thomas,CON00129,SaaS,HRMS,25,951,70750,0,18,Monthly,24,Platinum,12,2026,2830,2830,2986,2744,70750,2026-01-03,2026-02-02,USD,Sent,Pending,3,12735.0,12735.0,15,10612.5,72872.5,0,0,1,0,0,0,0,0,1,Extra Discount,10612.5
INV000046,CUST00014,Clark-Wright,Enterprise,IT,East,India,West Kimberlychester,sarayoung@cherry.biz,2259634216,2023-06-28,Active,Net 60,183767,John Thomas,CON00181,Cloud,Business Cloud,20,738,59220,0,18,Monthly,12,Bronze,4,2026,2961,2961,3055,2841,59220,2026-06-14,2026-07-14,USD,Paid,Paid,3,10659.6,10659.6,0,0.0,69879.6,0,0,0,0,0,0,0,0,0,None,0.0
INV000047,CUST00264,Moon Ltd,Retail,IT,South,India,Natashachester,hillchristopher@ruiz-gutierrez.com,001-961-224-8156x985,2022-01-14,Active,Net 15,226076,Rahul Sharma,CON00186,SaaS,HRMS,25,1903,63825,15,18,Monthly,24,Silver,4,2026,2553,2553,2636,2400,63825,2026-01-11,2026-02-10,INR,Paid,Paid,1,11488.5,11488.5,15,9573.75,65739.75,0,0,0,0,0,0,0,0,0,None,0.0
INV000048,CUST00477,Durham PLC,SMB,Manufacturing,West,India,Allenchester,moyermorgan@tyler-vasquez.org,511-391-8182x81979,2025-04-05,Suspended,Net 30,522406,Sneha Patel,CON00081,Internet,Fiber 300,10,1296,19000,10,18,Monthly,36,Silver,9,2026,1900,1900,1905,1780,19000,2026-01-01,2026-01-31,USD,Generated,Paid,1,3420.0,3420.0,10,1900.0,20520.0,0,0,0,0,0,0,0,0,0,None,0.0
INV000049,CUST00107,Perez Inc,Enterprise,IT,South,India,North Lawrenceport,patrickli@may.com,489-809-2753,2025-05-11,Suspended,Net 45,967888,Sneha Patel,CON00126,Security,Firewall,15,1535,15240,5,18,Monthly,12,Gold,1,2026,1016,1016,1127,993,15240,2026-05-03,2026-06-02,INR,Paid,Paid,1,2743.2,2743.2,5,762.0,17221.2,0,0,0,0,0,0,0,0,0,None,0.0
INV000050,CUST00219,Johnson PLC,Enterprise,IT,South,India,Jessicashire,bryan79@berry.com,001-690-647-1281x4429,2023-10-13,Suspended,Net 15,608221,Priya Nair,CON00090,Voice,Voice Basic,5,773,14785,0,18,Monthly,12,Platinum,12,2026,2957,2957,3029,2871,14785,2026-02-06,2026-03-08,USD,Generated,Paid,3,2661.3,1864.0159884378954,0,0.0,16649.02,1,0,0,0,0,0,0,0,1,Missing GST,797.28
INV000051,CUST00160,Vance PLC,Retail,Finance,East,UK,Dennishaven,sanderswayne@allen.com,001-582-372-2992x75037,2023-11-05,Active,Net 60,914266,Priya Nair,CON00109,SaaS,ERP,25,2491,41175,0,18,Yearly,12,Gold,6,2026,1647,1647,1884,1573,41175,2025-09-28,2025-10-28,USD,Sent,Overdue,3,7411.5,7411.5,0,0.0,48586.5,0,0,0,0,0,0,0,0,0,None,0.0
INV000052,CUST00084,"Hobbs, Buck and Garrett",Enterprise,Healthcare,West,India,Peterston,shelly68@horton-russell.com,(428)873-3427x0866,2023-08-30,Suspended,Net 15,811315,Sneha Patel,CON00179,Cloud,Enterprise Cloud,20,518,35040,10,18,Quarterly,12,Platinum,12,2026,1752,1752,1889,1690,35040,2026-07-01,2026-07-31,USD,Sent,Overdue,1,6307.2,6307.2,10,3504.0,27470.49,0,0,0,1,0,0,0,0,1,Wrong Pricing,10372.71
INV000053,CUST00378,Bell-Daniels,Retail,Healthcare,South,India,Danielburgh,lpatterson@larson.biz,+1-349-911-1109x6179,2025-11-16,Active,Net 45,342985,Rahul Sharma,CON00055,SaaS,ERP,25,2505,66600,0,18,Quarterly,24,Silver,8,2026,2664,2664,2668,2652,66600,2025-12-17,2026-01-16,EUR,Generated,Paid,1,11988.0,11988.0,0,0.0,78588.0,0,0,0,0,0,0,0,0,0,None,0.0
INV000054,CUST00068,Barker and Sons,Government,IT,South,Singapore,Perrymouth,matthewthomas@flores.biz,(658)981-5371,2023-09-15,Active,Net 60,356063,Priya Nair,CON00022,Voice,Voice Premium,5,612,14505,15,18,Yearly,24,Silver,8,2026,2901,2901,2905,2775,14505,2025-10-16,2025-11-15,INR,Sent,Paid,3,2610.9,2610.9,15,2175.75,14940.15,0,0,0,0,0,0,0,0,0,None,0.0
INV000055,CUST00209,"Moore, Peterson and Webb",Government,Finance,North,USA,Kimberlyberg,shortsharon@haney.biz,001-681-204-0915x701,2026-07-05,Suspended,Net 30,742558,Sneha Patel,CON00186,SaaS,HRMS,25,1903,53975,15,18,Monthly,24,Silver,11,2026,2159,2159,2236,2142,53975,2025-09-12,2025-10-12,USD,Paid,Paid,2,9715.5,9715.5,15,8096.25,55594.25,0,0,0,0,0,0,0,0,0,None,0.0
INV000056,CUST00018,"Collins, Drake and Hernandez",Government,IT,East,Australia,East Traceyland,operry@lee.com,(501)363-2870,2025-06-24,Suspended,Net 30,208338,Rahul Sharma,CON00070,Voice,Voice Basic,5,1572,12955,10,18,Quarterly,12,Platinum,11,2026,2591,2591,2796,2551,12955,2025-12-04,2026-01-03,EUR,Sent,Overdue,2,2331.9,2331.9,10,1295.5,13991.4,0,0,0,0,0,0,0,0,0,None,0.0
INV000057,CUST00333,"Thomas, Meyer and Armstrong",Government,Finance,South,India,East Tylerland,marisa87@mosley.info,+1-583-633-2116x02564,2025-08-24,Suspended,Net 60,118619,Rahul Sharma,CON00074,SaaS,ERP,25,2081,38175,0,18,Quarterly,12,Silver,9,2026,1527,1527,1756,1486,38175,2025-12-21,2026-01-20,USD,Paid,Pending,2,6871.5,6871.5,0,0.0,45046.5,0,0,0,0,0,0,0,0,0,None,0.0
INV000058,CUST00476,"Roth, Norris and Taylor",Enterprise,Manufacturing,West,Australia,Port Kristimouth,rebecca73@morris.info,(953)244-9021x666,2026-02-02,Active,Net 15,769449,Arjun Kumar,CON00096,Voice,Voice Basic,5,2538,12410,10,18,Quarterly,36,Platinum,1,2026,2482,2482,2729,2433,12410,2025-10-13,2025-11-12,EUR,Sent,Overdue,1,2233.8,2233.8,10,1241.0,13402.8,0,0,0,0,0,1,0,0,1,Duplicate Invoice,13402.8
